book_id,title,genres
9,"Angels & Demons  (Robert Langdon, #1)","['art', 'romance']"
34,"Fifty Shades of Grey (Fifty Shades, #1)",['chick-lit']
40,"Eat, Pray, Love",['drama']
46,Water for Elephants,"['coming-of-age', 'drama', 'young-adult']"
50,Where the Sidewalk Ends,['picture-book']
57,The Secret Life of Bees,['romance']
59,Charlotte's Web,['coming-of-age']
60,The Curious Incident of the Dog in the Night-Time,"['coming-of-age', 'crime', 'suspense']"
64,My Sister's Keeper,"['coming-of-age', 'romance']"
67,A Thousand Splendid Suns,['young-adult']
72,The Shining (The Shining #1),['science-fiction']
73,"The Host (The Host, #1)",['drama']
75,"Bridget Jones's Diary (Bridget Jones, #1)","['diary', 'drama']"
76,Sense and Sensibility,['history']
77,"Holes (Holes, #1)",['crime']
78,"The Devil Wears Prada (The Devil Wears Prada, #1)","['drama', 'young-adult']"
79,The Odyssey,"['drama', 'travel']"
81,The Glass Castle,"['drama', 'young-adult']"
82,Into the Wild,"['autobiography', 'coming-of-age', 'young-adult']"
83,A Tale of Two Cities,['young-adult']
84,"Jurassic Park (Jurassic Park, #1)","['mystery', 'young-adult']"
86,A Time to Kill,['historical-fiction']
87,Night (The Night Trilogy #1),['horror']
89,The Princess Bride ,['science-fiction']
90,The Outsiders,['crime']
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","['history', 'self-help']"
96,"Fifty Shades Freed (Fifty Shades, #3)",['fantasy']
99,"Fifty Shades Darker (Fifty Shades, #2)",['young-adult']
100,The Poisonwood Bible,"['coming-of-age', 'travel']"
101,Me Talk Pretty One Day,"['satire', 'short-story']"
102,Where the Wild Things Are,['art']
103,The Count of Monte Cristo,"['crime', 'fantasy']"
104,The Road,['suspense']
106,Bossypants,['chick-lit']
107,A Walk to Remember,"['coming-of-age', 'historical-fiction']"
108,"Confessions of a Shopaholic (Shopaholic, #1)",['romance']
111,The Memory Keeper's Daughter,"['mystery', 'romance', 'young-adult']"
114,Tuesdays with Morrie,"['drama', 'young-adult']"
115,Middlesex,['history']
116,The Adventures of Tom Sawyer,['history']
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",['coming-of-age']
118,The Joy Luck Club,"['coming-of-age', 'historical-fiction', 'history', 'memoir', 'romance', 'young-adult']"
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)","['drama', 'travel']"
121,Lolita,"['historical-fiction', 'romance']"
